academic_year,assignments,attendance,course_id,course_name,email,final,final_grade,letter_grade,major,midterm,name,semester,student_id,trait
2022/2023,9.5,99.7,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),leanhphucbd22ai022@gmail.com,9.3,9.5,A,Khoa AI - Khóa 22,9.1,Lê Anh Phúc,1,BD22AI022,excellent
2022/2023,8.9,57.2,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),nguyenminhtungbd22ai023@gmail.com,9.8,8.7,A,Khoa AI - Khóa 22,9.5,Nguyễn Minh Tùng,1,BD22AI023,talented_but_lazy
2022/2023,7.9,87.4,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),nguyenngoclinhbd22ai024@gmail.com,6.5,7.4,B,Khoa AI - Khóa 22,7.8,Nguyễn Ngọc Linh,1,BD22AI024,average
2022/2023,7.0,41.3,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),ngohuucuongbd22ai025@gmail.com,8.6,7.2,B,Khoa AI - Khóa 22,10.0,Ngô Hữu Cường,1,BD22AI025,talented_but_lazy
2022/2023,8.6,71.5,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),đangtuanquanbd22ai026@gmail.com,5.9,7.0,B,Khoa AI - Khóa 22,6.1,Đặng Tuấn Quân,1,BD22AI026,average
2022/2023,8.5,91.2,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),tranthinambd22ai027@gmail.com,5.6,7.2,B,Khoa AI - Khóa 22,7.7,Trần Thị Nam,1,BD22AI027,average
2022/2023,3.6,50.9,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),buivanvinhbd22ai028@gmail.com,2.1,3.1,F,Khoa AI - Khóa 22,1.6,Bùi Văn Vinh,1,BD22AI028,struggling
2022/2023,9.6,99.3,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lehaitungbd22ai029@gmail.com,4.6,7.2,B,Khoa AI - Khóa 22,3.8,Lê Hải Tùng,1,BD22AI029,diligent_but_low
2022/2023,7.8,58.4,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lexuanhabd22ai030@gmail.com,9.9,8.5,A,Khoa AI - Khóa 22,9.1,Lê Xuân Hà,1,BD22AI030,talented_but_lazy
2022/2023,2.8,61.0,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lekimloibd22ai031@gmail.com,2.0,3.1,F,Khoa AI - Khóa 22,3.7,Lê Kim Lợi,1,BD22AI031,struggling
2022/2023,9.8,98.3,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),vuvansonbd22ai032@gmail.com,3.0,6.4,C,Khoa AI - Khóa 22,3.1,Vũ Văn Sơn,1,BD22AI032,diligent_but_low
2022/2023,8.0,63.6,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lyhuuphucbd22ai033@gmail.com,9.9,8.6,A,Khoa AI - Khóa 22,9.1,Lý Hữu Phúc,1,BD22AI033,talented_but_lazy
2022/2023,7.7,40.5,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),phankimtungbd22ai034@gmail.com,9.6,7.9,B,Khoa AI - Khóa 22,9.0,Phan Kim Tùng,1,BD22AI034,talented_but_lazy
2022/2023,8.3,87.8,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lexuannambd22ai035@gmail.com,8.0,8.2,B,Khoa AI - Khóa 22,7.5,Lê Xuân Nam,1,BD22AI035,average
2022/2023,9.3,97.4,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),phamthiphucbd22ai036@gmail.com,3.1,6.3,C,Khoa AI - Khóa 22,3.3,Phạm Thị Phúc,1,BD22AI036,diligent_but_low
2022/2023,7.3,42.2,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),lyngocquanbd22ai037@gmail.com,9.8,7.9,B,Khoa AI - Khóa 22,9.3,Lý Ngọc Quân,1,BD22AI037,talented_but_lazy
2022/2023,9.4,99.6,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),đangngoctungbd22ai038@gmail.com,9.6,9.6,A,Khoa AI - Khóa 22,9.2,Đặng Ngọc Tùng,1,BD22AI038,excellent
2022/2023,9.7,99.0,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),phanvanlinhbd22ai039@gmail.com,3.3,6.5,C,Khoa AI - Khóa 22,5.2,Phan Văn Linh,1,BD22AI039,diligent_but_low
2022/2023,9.1,98.6,AI102_K22_2022_2023_S1,Xác suất & Thống kê ứng dụng (K22),phanthanhlinhbd22ai040@gmail.com,5.1,7.3,B,Khoa AI - Khóa 22,3.8,Phan Thanh Linh,1,BD22AI040,diligent_but_low
2022/2023,3.2,46.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),vuanhlinhbd22ai001@gmail.com,1.2,2.5,F,Khoa AI - Khóa 22,4.2,Vũ Anh Linh,2,BD22AI001,struggling
2022/2023,9.0,49.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangquangminhbd22ai002@gmail.com,9.8,8.6,A,Khoa AI - Khóa 22,8.8,Đặng Quang Minh,2,BD22AI002,talented_but_lazy
2022/2023,9.5,97.7,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),phanminhlinhbd22ai003@gmail.com,4.3,6.9,C,Khoa AI - Khóa 22,5.2,Phan Minh Linh,2,BD22AI003,diligent_but_low
2022/2023,9.6,97.4,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),hođucphucbd22ai004@gmail.com,9.2,9.4,A,Khoa AI - Khóa 22,9.5,Hồ Đức Phúc,2,BD22AI004,excellent
2022/2023,9.4,97.3,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),buikimtungbd22ai005@gmail.com,9.5,9.5,A,Khoa AI - Khóa 22,9.5,Bùi Kim Tùng,2,BD22AI005,excellent
2022/2023,9.5,97.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),tranhaiminhbd22ai006@gmail.com,3.5,6.5,C,Khoa AI - Khóa 22,5.4,Trần Hải Minh,2,BD22AI006,diligent_but_low
2022/2023,9.6,98.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),buihaiquanbd22ai007@gmail.com,9.8,9.7,A,Khoa AI - Khóa 22,9.4,Bùi Hải Quân,2,BD22AI007,excellent
2022/2023,9.5,94.3,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),hothanhsonbd22ai008@gmail.com,9.8,9.6,A,Khoa AI - Khóa 22,9.1,Hồ Thanh Sơn,2,BD22AI008,excellent
2022/2023,9.5,95.8,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangminhcuongbd22ai009@gmail.com,9.9,9.7,A,Khoa AI - Khóa 22,9.1,Đặng Minh Cường,2,BD22AI009,excellent
2022/2023,8.9,63.9,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),vungocvinhbd22ai010@gmail.com,8.5,8.2,B,Khoa AI - Khóa 22,8.9,Vũ Ngọc Vinh,2,BD22AI010,talented_but_lazy
2022/2023,7.5,52.7,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),duongtuanquanbd22ai011@gmail.com,9.7,8.2,B,Khoa AI - Khóa 22,8.7,Dương Tuấn Quân,2,BD22AI011,talented_but_lazy
2022/2023,2.8,44.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),leminhdungbd22ai012@gmail.com,1.2,2.3,F,Khoa AI - Khóa 22,2.9,Lê Minh Dũng,2,BD22AI012,struggling
2022/2023,9.8,99.6,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),hotuanhabd22ai013@gmail.com,9.1,9.5,A,Khoa AI - Khóa 22,9.4,Hồ Tuấn Hà,2,BD22AI013,excellent
2022/2023,9.7,95.8,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),vuhuuhabd22ai014@gmail.com,9.3,9.4,A,Khoa AI - Khóa 22,9.7,Vũ Hữu Hà,2,BD22AI014,excellent
2022/2023,5.0,42.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangthitungbd22ai015@gmail.com,1.6,3.2,F,Khoa AI - Khóa 22,4.0,Đặng Thị Tùng,2,BD22AI015,struggling
2022/2023,8.3,49.6,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),hoangngoctungbd22ai016@gmail.com,9.1,8.0,B,Khoa AI - Khóa 22,8.8,Hoàng Ngọc Tùng,2,BD22AI016,talented_but_lazy
2022/2023,6.6,93.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),hoquangquanbd22ai017@gmail.com,5.1,6.4,C,Khoa AI - Khóa 22,5.9,Hồ Quang Quân,2,BD22AI017,average
2022/2023,8.7,44.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),huynhhaianbd22ai018@gmail.com,10.0,8.5,A,Khoa AI - Khóa 22,9.3,Huỳnh Hải An,2,BD22AI018,talented_but_lazy
2022/2023,10.0,95.4,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),buituansonbd22ai019@gmail.com,9.1,9.5,A,Khoa AI - Khóa 22,9.4,Bùi Tuấn Sơn,2,BD22AI019,excellent
2022/2023,9.1,46.3,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangđuckienbd22ai020@gmail.com,8.9,8.1,B,Khoa AI - Khóa 22,9.0,Đặng Đức Kiên,2,BD22AI020,talented_but_lazy
2022/2023,6.8,77.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),ngohaihabd22ai021@gmail.com,6.6,6.9,C,Khoa AI - Khóa 22,6.5,Ngô Hải Hà,2,BD22AI021,average
2022/2023,9.9,96.7,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),leanhphucbd22ai022@gmail.com,9.8,9.8,A,Khoa AI - Khóa 22,9.4,Lê Anh Phúc,2,BD22AI022,excellent
2022/2023,8.9,46.7,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),nguyenminhtungbd22ai023@gmail.com,9.0,8.1,B,Khoa AI - Khóa 22,8.7,Nguyễn Minh Tùng,2,BD22AI023,talented_but_lazy
2022/2023,8.8,84.5,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),nguyenngoclinhbd22ai024@gmail.com,6.4,7.5,B,Khoa AI - Khóa 22,6.2,Nguyễn Ngọc Linh,2,BD22AI024,average
2022/2023,8.6,61.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),ngohuucuongbd22ai025@gmail.com,9.9,8.8,A,Khoa AI - Khóa 22,8.6,Ngô Hữu Cường,2,BD22AI025,talented_but_lazy
2022/2023,6.6,92.8,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangtuanquanbd22ai026@gmail.com,6.8,7.2,B,Khoa AI - Khóa 22,7.4,Đặng Tuấn Quân,2,BD22AI026,average
2022/2023,8.3,74.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),tranthinambd22ai027@gmail.com,7.9,7.9,B,Khoa AI - Khóa 22,5.5,Trần Thị Nam,2,BD22AI027,average
2022/2023,4.5,51.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),buivanvinhbd22ai028@gmail.com,1.0,2.9,F,Khoa AI - Khóa 22,1.7,Bùi Văn Vinh,2,BD22AI028,struggling
2022/2023,9.6,97.8,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lehaitungbd22ai029@gmail.com,4.2,6.9,C,Khoa AI - Khóa 22,5.1,Lê Hải Tùng,2,BD22AI029,diligent_but_low
2022/2023,7.6,57.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lexuanhabd22ai030@gmail.com,9.6,8.2,B,Khoa AI - Khóa 22,9.4,Lê Xuân Hà,2,BD22AI030,talented_but_lazy
2022/2023,2.9,68.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lekimloibd22ai031@gmail.com,2.2,3.3,F,Khoa AI - Khóa 22,4.4,Lê Kim Lợi,2,BD22AI031,struggling
2022/2023,9.6,99.5,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),vuvansonbd22ai032@gmail.com,5.3,7.5,B,Khoa AI - Khóa 22,4.8,Vũ Văn Sơn,2,BD22AI032,diligent_but_low
2022/2023,8.6,53.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lyhuuphucbd22ai033@gmail.com,8.9,8.1,B,Khoa AI - Khóa 22,10.0,Lý Hữu Phúc,2,BD22AI033,talented_but_lazy
2022/2023,7.1,45.7,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),phankimtungbd22ai034@gmail.com,8.6,7.3,B,Khoa AI - Khóa 22,9.8,Phan Kim Tùng,2,BD22AI034,talented_but_lazy
2022/2023,6.7,89.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lexuannambd22ai035@gmail.com,5.6,6.6,C,Khoa AI - Khóa 22,5.8,Lê Xuân Nam,2,BD22AI035,average
2022/2023,9.6,97.3,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),phamthiphucbd22ai036@gmail.com,3.1,6.4,C,Khoa AI - Khóa 22,3.3,Phạm Thị Phúc,2,BD22AI036,diligent_but_low
2022/2023,8.2,65.0,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),lyngocquanbd22ai037@gmail.com,9.0,8.3,B,Khoa AI - Khóa 22,8.7,Lý Ngọc Quân,2,BD22AI037,talented_but_lazy
2022/2023,9.5,94.1,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),đangngoctungbd22ai038@gmail.com,9.2,9.3,A,Khoa AI - Khóa 22,9.8,Đặng Ngọc Tùng,2,BD22AI038,excellent
2022/2023,9.8,98.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),phanvanlinhbd22ai039@gmail.com,3.5,6.7,C,Khoa AI - Khóa 22,5.2,Phan Văn Linh,2,BD22AI039,diligent_but_low
2022/2023,9.7,99.2,AI103_K22_2022_2023_S2,Lập trình Python cho Khoa học dữ liệu (K22),phanthanhlinhbd22ai040@gmail.com,5.2,7.5,B,Khoa AI - Khóa 22,3.2,Phan Thanh Linh,2,BD22AI040,diligent_but_low
2022/2023,4.0,52.3,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),vuanhlinhbd22ai001@gmail.com,1.7,3.1,F,Khoa AI - Khóa 22,4.2,Vũ Anh Linh,2,BD22AI001,struggling
2022/2023,8.9,54.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangquangminhbd22ai002@gmail.com,8.6,8.1,B,Khoa AI - Khóa 22,9.0,Đặng Quang Minh,2,BD22AI002,talented_but_lazy
2022/2023,9.2,97.5,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),phanminhlinhbd22ai003@gmail.com,5.1,7.3,B,Khoa AI - Khóa 22,5.2,Phan Minh Linh,2,BD22AI003,diligent_but_low
2022/2023,9.4,96.3,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),hođucphucbd22ai004@gmail.com,9.6,9.5,A,Khoa AI - Khóa 22,9.1,Hồ Đức Phúc,2,BD22AI004,excellent
2022/2023,9.8,97.3,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),buikimtungbd22ai005@gmail.com,10.0,9.9,A,Khoa AI - Khóa 22,9.3,Bùi Kim Tùng,2,BD22AI005,excellent
2022/2023,9.2,99.4,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),tranhaiminhbd22ai006@gmail.com,3.3,6.4,C,Khoa AI - Khóa 22,4.8,Trần Hải Minh,2,BD22AI006,diligent_but_low
2022/2023,9.6,96.4,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),buihaiquanbd22ai007@gmail.com,9.6,9.6,A,Khoa AI - Khóa 22,9.9,Bùi Hải Quân,2,BD22AI007,excellent
2022/2023,9.9,98.8,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),hothanhsonbd22ai008@gmail.com,9.4,9.7,A,Khoa AI - Khóa 22,9.3,Hồ Thanh Sơn,2,BD22AI008,excellent
2022/2023,9.8,95.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangminhcuongbd22ai009@gmail.com,9.5,9.6,A,Khoa AI - Khóa 22,9.0,Đặng Minh Cường,2,BD22AI009,excellent
2022/2023,7.8,52.9,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),vungocvinhbd22ai010@gmail.com,8.9,7.9,B,Khoa AI - Khóa 22,9.1,Vũ Ngọc Vinh,2,BD22AI010,talented_but_lazy
2022/2023,8.7,57.6,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),duongtuanquanbd22ai011@gmail.com,8.7,8.1,B,Khoa AI - Khóa 22,9.8,Dương Tuấn Quân,2,BD22AI011,talented_but_lazy
2022/2023,2.8,64.0,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),leminhdungbd22ai012@gmail.com,1.9,3.1,F,Khoa AI - Khóa 22,4.5,Lê Minh Dũng,2,BD22AI012,struggling
2022/2023,9.7,95.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),hotuanhabd22ai013@gmail.com,9.4,9.5,A,Khoa AI - Khóa 22,9.3,Hồ Tuấn Hà,2,BD22AI013,excellent
2022/2023,9.9,99.1,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),vuhuuhabd22ai014@gmail.com,9.5,9.7,A,Khoa AI - Khóa 22,9.9,Vũ Hữu Hà,2,BD22AI014,excellent
2022/2023,4.6,58.1,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangthitungbd22ai015@gmail.com,1.2,3.1,F,Khoa AI - Khóa 22,3.0,Đặng Thị Tùng,2,BD22AI015,struggling
2022/2023,7.7,47.9,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),hoangngoctungbd22ai016@gmail.com,8.6,7.6,B,Khoa AI - Khóa 22,9.6,Hoàng Ngọc Tùng,2,BD22AI016,talented_but_lazy
2022/2023,6.5,84.9,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),hoquangquanbd22ai017@gmail.com,5.7,6.5,C,Khoa AI - Khóa 22,5.8,Hồ Quang Quân,2,BD22AI017,average
2022/2023,7.8,57.4,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),huynhhaianbd22ai018@gmail.com,9.2,8.1,B,Khoa AI - Khóa 22,9.9,Huỳnh Hải An,2,BD22AI018,talented_but_lazy
2022/2023,9.8,95.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),buituansonbd22ai019@gmail.com,9.5,9.6,A,Khoa AI - Khóa 22,9.1,Bùi Tuấn Sơn,2,BD22AI019,excellent
2022/2023,7.9,54.8,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangđuckienbd22ai020@gmail.com,9.1,8.0,B,Khoa AI - Khóa 22,8.8,Đặng Đức Kiên,2,BD22AI020,talented_but_lazy
2022/2023,6.9,94.5,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),ngohaihabd22ai021@gmail.com,6.6,7.2,B,Khoa AI - Khóa 22,7.9,Ngô Hải Hà,2,BD22AI021,average
2022/2023,9.8,94.5,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),leanhphucbd22ai022@gmail.com,9.5,9.6,A,Khoa AI - Khóa 22,9.0,Lê Anh Phúc,2,BD22AI022,excellent
2022/2023,8.6,63.1,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),nguyenminhtungbd22ai023@gmail.com,8.8,8.2,B,Khoa AI - Khóa 22,9.5,Nguyễn Minh Tùng,2,BD22AI023,talented_but_lazy
2022/2023,6.7,78.4,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),nguyenngoclinhbd22ai024@gmail.com,5.7,6.4,C,Khoa AI - Khóa 22,6.4,Nguyễn Ngọc Linh,2,BD22AI024,average
2022/2023,7.0,46.7,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),ngohuucuongbd22ai025@gmail.com,8.8,7.4,B,Khoa AI - Khóa 22,9.3,Ngô Hữu Cường,2,BD22AI025,talented_but_lazy
2022/2023,8.4,76.3,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangtuanquanbd22ai026@gmail.com,7.9,8.0,B,Khoa AI - Khóa 22,6.3,Đặng Tuấn Quân,2,BD22AI026,average
2022/2023,7.3,85.7,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),tranthinambd22ai027@gmail.com,6.2,7.0,B,Khoa AI - Khóa 22,6.1,Trần Thị Nam,2,BD22AI027,average
2022/2023,4.1,51.6,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),buivanvinhbd22ai028@gmail.com,3.2,3.8,F,Khoa AI - Khóa 22,3.7,Bùi Văn Vinh,2,BD22AI028,struggling
2022/2023,9.4,99.7,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lehaitungbd22ai029@gmail.com,4.1,6.8,C,Khoa AI - Khóa 22,3.9,Lê Hải Tùng,2,BD22AI029,diligent_but_low
2022/2023,8.5,64.7,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lexuanhabd22ai030@gmail.com,9.8,8.7,A,Khoa AI - Khóa 22,9.7,Lê Xuân Hà,2,BD22AI030,talented_but_lazy
2022/2023,4.2,70.6,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lekimloibd22ai031@gmail.com,3.2,4.3,D,Khoa AI - Khóa 22,2.4,Lê Kim Lợi,2,BD22AI031,struggling
2022/2023,9.5,97.8,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),vuvansonbd22ai032@gmail.com,5.0,7.3,B,Khoa AI - Khóa 22,3.7,Vũ Văn Sơn,2,BD22AI032,diligent_but_low
2022/2023,7.2,61.6,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lyhuuphucbd22ai033@gmail.com,9.7,8.2,B,Khoa AI - Khóa 22,9.4,Lý Hữu Phúc,2,BD22AI033,talented_but_lazy
2022/2023,7.4,49.0,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),phankimtungbd22ai034@gmail.com,9.0,7.7,B,Khoa AI - Khóa 22,9.0,Phan Kim Tùng,2,BD22AI034,talented_but_lazy
2022/2023,6.7,74.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lexuannambd22ai035@gmail.com,7.5,7.3,B,Khoa AI - Khóa 22,7.8,Lê Xuân Nam,2,BD22AI035,average
2022/2023,9.4,96.0,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),phamthiphucbd22ai036@gmail.com,5.5,7.5,B,Khoa AI - Khóa 22,3.6,Phạm Thị Phúc,2,BD22AI036,diligent_but_low
2022/2023,7.5,54.2,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),lyngocquanbd22ai037@gmail.com,8.9,7.8,B,Khoa AI - Khóa 22,9.1,Lý Ngọc Quân,2,BD22AI037,talented_but_lazy
2022/2023,9.6,99.9,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),đangngoctungbd22ai038@gmail.com,10.0,9.9,A,Khoa AI - Khóa 22,9.7,Đặng Ngọc Tùng,2,BD22AI038,excellent
2022/2023,9.7,96.9,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),phanvanlinhbd22ai039@gmail.com,5.3,7.5,B,Khoa AI - Khóa 22,5.0,Phan Văn Linh,2,BD22AI039,diligent_but_low
2022/2023,9.7,99.8,AI104_K22_2022_2023_S2,Cấu trúc dữ liệu & Giải thuật (K22),phanthanhlinhbd22ai040@gmail.com,3.2,6.5,C,Khoa AI - Khóa 22,5.4,Phan Thanh Linh,2,BD22AI040,diligent_but_low
2023/2024,7.4,41.7,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),huynhxuankienbd21ai001@gmail.com,9.3,7.7,B,Khoa AI - Khóa 21,9.5,Huỳnh Xuân Kiên,1,BD21AI001,talented_but_lazy
2023/2024,10.0,99.4,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),phamvanbinhbd21ai002@gmail.com,9.4,9.7,A,Khoa AI - Khóa 21,9.5,Phạm Văn Bình,1,BD21AI002,excellent
2023/2024,6.8,80.3,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),đangvannambd21ai003@gmail.com,7.4,7.4,B,Khoa AI - Khóa 21,6.7,Đặng Văn Nam,1,BD21AI003,average
2023/2024,7.5,54.9,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),tranngocanbd21ai004@gmail.com,9.3,8.0,B,Khoa AI - Khóa 21,9.3,Trần Ngọc An,1,BD21AI004,talented_but_lazy
2023/2024,9.6,96.8,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),duongkimcuongbd21ai005@gmail.com,4.6,7.1,B,Khoa AI - Khóa 21,4.9,Dương Kim Cường,1,BD21AI005,diligent_but_low
2023/2024,9.8,98.3,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),vukimsonbd21ai006@gmail.com,4.5,7.2,B,Khoa AI - Khóa 21,3.3,Vũ Kim Sơn,1,BD21AI006,diligent_but_low
2023/2024,9.1,53.9,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),huynhđucdungbd21ai007@gmail.com,9.7,8.7,A,Khoa AI - Khóa 21,9.7,Huỳnh Đức Dũng,1,BD21AI007,talented_but_lazy
2023/2024,9.7,96.6,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),tranquangquanbd21ai008@gmail.com,9.1,9.4,A,Khoa AI - Khóa 21,9.0,Trần Quang Quân,1,BD21AI008,excellent
2023/2024,8.4,93.2,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),đohailoibd21ai009@gmail.com,7.6,8.2,B,Khoa AI - Khóa 21,7.1,Đỗ Hải Lợi,1,BD21AI009,average
2023/2024,7.2,48.3,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),buithanhlinhbd21ai010@gmail.com,9.1,7.7,B,Khoa AI - Khóa 21,9.4,Bùi Thành Linh,1,BD21AI010,talented_but_lazy
2023/2024,4.9,48.3,AI301_K21_2023_2024_S1,Reinforcement Learning (K21),lyvanphucbd21ai011@gmail.com,3.2,4.0,D,Khoa AI - Khóa 21,2.9,Lý Văn Phúc,1,BD21AI011,struggling
